,location,date,new_cases
412,World,2021-03-09,414053.0
413,World,2021-03-10,458864.0
414,World,2021-03-11,489699.0
415,World,2021-03-12,489257.0
416,World,2021-03-13,455615.0
417,World,2021-03-14,365072.0
418,World,2021-03-15,354079.0
419,World,2021-03-16,467044.0
420,World,2021-03-17,545719.0
421,World,2021-03-18,547936.0
422,World,2021-03-19,562541.0
423,World,2021-03-20,498448.0
424,World,2021-03-21,440464.0
425,World,2021-03-22,423403.0
426,World,2021-03-23,505855.0
427,World,2021-03-24,631709.0
428,World,2021-03-25,652189.0
429,World,2021-03-26,640037.0
430,World,2021-03-27,584545.0
431,World,2021-03-28,492654.0
432,World,2021-03-29,459273.0
433,World,2021-03-30,562206.0
434,World,2021-03-31,673904.0
435,World,2021-04-01,709827.0
436,World,2021-04-02,644802.0
437,World,2021-04-03,540356.0
438,World,2021-04-04,559922.0
439,World,2021-04-05,496989.0
440,World,2021-04-06,607495.0
441,World,2021-04-07,663157.0
442,World,2021-04-08,836057.0
443,World,2021-04-09,752184.0
444,World,2021-04-10,670645.0
445,World,2021-04-11,709606.0
446,World,2021-04-12,613843.0
447,World,2021-04-13,763821.0
448,World,2021-04-14,811320.0
449,World,2021-04-15,821236.0
450,World,2021-04-16,859846.0
451,World,2021-04-17,794044.0
452,World,2021-04-18,700107.0
453,World,2021-04-19,690930.0
454,World,2021-04-20,839491.0
455,World,2021-04-21,889236.0
456,World,2021-04-22,899407.0
457,World,2021-04-23,907669.0
458,World,2021-04-24,824223.0
459,World,2021-04-25,728480.0
460,World,2021-04-26,689042.0
461,World,2021-04-27,839111.0
462,World,2021-04-28,898811.0
463,World,2021-04-29,894047.0
464,World,2021-04-30,891369.0
465,World,2021-05-01,794906.0
466,World,2021-05-02,687269.0
467,World,2021-05-03,690446.0
468,World,2021-05-04,784960.0
469,World,2021-05-05,842012.0
470,World,2021-05-06,872844.0
471,World,2021-05-07,834829.0
472,World,2021-05-08,788304.0
473,World,2021-05-09,649405.0
474,World,2021-05-10,625642.0
475,World,2021-05-11,725823.0
476,World,2021-05-12,767489.0
477,World,2021-05-13,734701.0
478,World,2021-05-14,709569.0
479,World,2021-05-15,631611.0
480,World,2021-05-16,546621.0
481,World,2021-05-17,543533.0
482,World,2021-05-18,621999.0
483,World,2021-05-19,672058.0
484,World,2021-05-20,631156.0
485,World,2021-05-21,626473.0
486,World,2021-05-22,572361.0
487,World,2021-05-23,481618.0
488,World,2021-05-24,451073.0
489,World,2021-05-25,533407.0
490,World,2021-05-26,568444.0
