,continent,date,new_vaccinations
262,Africa,2020-10-26,0.0
263,Africa,2020-10-27,0.0
264,Africa,2020-10-28,0.0
265,Africa,2020-10-29,0.0
266,Africa,2020-10-30,0.0
267,Africa,2020-10-31,0.0
268,Africa,2020-11-01,0.0
269,Africa,2020-11-02,0.0
270,Africa,2020-11-03,0.0
271,Africa,2020-11-04,0.0
272,Africa,2020-11-05,0.0
273,Africa,2020-11-06,0.0
274,Africa,2020-11-07,0.0
275,Africa,2020-11-08,0.0
276,Africa,2020-11-09,0.0
277,Africa,2020-11-10,0.0
278,Africa,2020-11-11,0.0
279,Africa,2020-11-12,0.0
280,Africa,2020-11-13,0.0
281,Africa,2020-11-14,0.0
282,Africa,2020-11-15,0.0
283,Africa,2020-11-16,0.0
284,Africa,2020-11-17,0.0
285,Africa,2020-11-18,0.0
286,Africa,2020-11-19,0.0
287,Africa,2020-11-20,0.0
288,Africa,2020-11-21,0.0
289,Africa,2020-11-22,0.0
290,Africa,2020-11-23,0.0
291,Africa,2020-11-24,0.0
292,Africa,2020-11-25,0.0
293,Africa,2020-11-26,0.0
294,Africa,2020-11-27,0.0
295,Africa,2020-11-28,0.0
296,Africa,2020-11-29,0.0
297,Africa,2020-11-30,0.0
298,Africa,2020-12-01,0.0
299,Africa,2020-12-02,0.0
300,Africa,2020-12-03,0.0
301,Africa,2020-12-04,0.0
302,Africa,2020-12-05,0.0
303,Africa,2020-12-06,0.0
304,Africa,2020-12-07,0.0
305,Africa,2020-12-08,0.0
306,Africa,2020-12-09,0.0
307,Africa,2020-12-10,0.0
308,Africa,2020-12-11,0.0
309,Africa,2020-12-12,0.0
310,Africa,2020-12-13,0.0
311,Africa,2020-12-14,0.0
312,Africa,2020-12-15,0.0
313,Africa,2020-12-16,0.0
314,Africa,2020-12-17,0.0
315,Africa,2020-12-18,0.0
316,Africa,2020-12-19,0.0
317,Africa,2020-12-20,0.0
318,Africa,2020-12-21,0.0
319,Africa,2020-12-22,0.0
320,Africa,2020-12-23,0.0
321,Africa,2020-12-24,0.0
322,Africa,2020-12-25,0.0
323,Africa,2020-12-26,0.0
324,Africa,2020-12-27,0.0
325,Africa,2020-12-28,0.0
326,Africa,2020-12-29,0.0
327,Africa,2020-12-30,0.0
328,Africa,2020-12-31,0.0
329,Africa,2021-01-01,0.0
330,Africa,2021-01-02,0.0
331,Africa,2021-01-03,0.0
